cena klienta,km ³adowne,czas,data 1 za³adunku,data ost roz³adunku,wsp za³,wsp za³,wsp roz³ad,wsp roz³ad,,wylkm,roznicakm,%
860,717,1.666666667,14/03/03 20:00,14/03/05 12:00,52.46580000,6.79310000,47.4875,5.0634,,567,150,79.07949791
500,396,1,14/03/05 8:00,14/03/06 8:00,46.88560000,5.65970000,43.8768,4.6303,,344,52,86.86868687
400,496,0.666666667,14/03/06 16:00,14/03/07 8:00,43.78670000,5.00460000,44.6,0.7167,,353,143,71.16935484
1100,1327,3.041666667,14/03/07 7:00,14/03/10 8:00,44.23540000,-0.91370000,45.9586,11.4359,,987,340,74.37829691
2150,1407,2,14/03/11 12:00,14/03/13 12:00,45.49280000,10.88490000,48.1149,2.103,,728,679,51.74129353
740,701,3,14/03/14 8:00,14/03/17 8:00,49.17250000,1.77970000,44.2486,2.8967,,554,147,79.0299572
610,693,1,14/03/17 8:00,14/03/18 8:00,43.90660000,2.69290000,48.8784,2.1379,,554,139,79.94227994
1350,1404,2,14/03/18 8:00,14/03/20 8:00,49.14960000,2.56840000,43.0305,13.833,,1101,303,78.41880342
1150,855,3.958333333,14/03/20 17:00,14/03/24 16:00,44.13210000,12.62690000,49.6072,11.0352,,620,235,72.51461988
290,339,0.708333333,14/03/24 15:00,14/03/25 8:00,49.61700000,11.12510000,50.6934,9.6961,,157,182,46.31268437
600,957,2,14/03/25 8:00,14/03/27 8:00,50.17510000,9.13140000,51.8,19.9167,,775,182,80.98223615
1150,930,3,14/04/25 8:00,14/04/28 8:00,51.23330000,3.20000000,43.9235,1.2966,,825,105,88.70967742
800,732,1,14/04/28 8:00,14/04/29 8:00,43.40710000,1.08630000,49.0592,2.3417,,635,97,86.74863388
1075,1000,1.083333333,14/04/29 6:00,14/04/30 8:00,49.23520000,1.57830000,43.9415,7.3135,,733,267,73.3
1000,394,3.083333333,14/05/02 18:00,14/05/05 20:00,45.30190000,7.76560000,46.2398,5.4133,,210,184,53.29949239
570,495,0.625,14/05/05 19:00,14/05/06 10:00,45.99640000,5.04530000,43.9894,7.184,,279,216,56.36363636
1180,1039,2,14/05/06 8:00,14/05/08 8:00,44.61670000,8.85000000,49.6883,8.4647,,564,475,54.28296439
440,385,0.416666667,14/05/08 14:00,14/05/09 0:00,50.17510000,9.13140000,52.6402,9.6656,,276,109,71.68831169
1250,1281,2.791666667,14/05/09 17:00,14/05/12 12:00,52.37330000,9.11950000,45.8265,8.324,,730,551,56.98672912
1280,837,0.958333333,14/05/13 15:00,14/05/14 14:00,44.92880000,8.68950000,48.8261,2.6012,,633,204,75.62724014
750,724,1.083333333,14/05/15 6:00,14/05/16 8:00,49.56720000,2.74370000,44.6048,2.6032,,551,173,76.10497238
1080,1105,3,14/05/16 8:00,14/05/19 8:00,45.00600000,3.27430000,45.7616,12.2981,,709,396,64.16289593
1600,896,2,14/05/20 12:00,14/05/22 12:00,45.76160000,12.29810000,47.3075,6.1431,,501,395,55.91517857
670,546,1,14/05/22 8:00,14/05/23 8:00,47.48460000,6.12880000,43.8768,4.6303,,417,129,76.37362637
300,374,3,14/05/23 8:00,14/05/26 8:00,43.87680000,4.63030000,44.2167,1.35,,264,110,70.58823529
650,694,0.75,14/05/26 14:00,14/05/27 8:00,44.51760000,0.08610000,44.7667,6.0833,,475,219,68.44380403
1400,1008,1.958333333,14/05/28 17:00,14/05/30 16:00,45.25120000,8.26640000,48.9767,1.5554,,654,354,64.88095238
830,850,1,14/06/02 8:00,14/06/03 8:00,49.36100000,1.34020000,43.3944,-0.6107,,680,170,80
800,1008,1,14/06/04 8:00,14/06/05 8:00,44.22030000,-0.31290000,44.5504,9.3466,,768,240,76.19047619
1050,958,4.625,14/06/05 19:00,14/06/10 10:00,44.61670000,8.85000000,49.9685,9.9382,,600,358,62.63048017
400,346,1.041666667,14/06/30 8:00,14/07/01 9:00,47.88330000,6.50000000,49.8406,8.4509,,260,86,75.14450867
650,422,1,14/07/01 8:00,14/07/02 8:00,49.53660000,7.21920000,48.944,2.3694,,358,64,84.83412322
800,717,1,14/07/02 8:00,14/07/03 8:00,49.45900000,2.43780000,44.011,1.5438,,609,108,84.93723849
650,481,1,14/07/03 8:00,14/07/04 8:00,43.51830000,1.95450000,44.1833,6.5167,,373,108,77.54677755
